Region,District,HF,Expected reports,Actual reports,dropout rate,DPT3,PCV 3,wastage rate
South Central,Kalangala District,St. Elizabeth Bumangi Health Centre III,3,3,-12,48,48,-3.8
Tooro,Kasese District,St. Elizabeth Health Centre III,3,2,,,,
South Central,Mpigi District,St. Elizabeth Kibanga Ihu Health Centre III,3,2,4,94,94,-35.7
North Central,Mukono District,St. Elizabeth Medical Clinic,,,,,,
North Central,Mubende District,St. Elizabeth's Dom Health Centre II,,,,,,
Kampala,Kampala District,St. Eric Health Clinic Medical Centre,,,,,,
North Central,Mityana District,St. Francis (Mityana) Health Centre IV,3,3,,,,
West Nile,Terego District,St. Francis (Ocodri) Health Centre III,3,3,0,78,74,51.3
Teso,Kapelebyong District,St. Francis Acumet Health Centre III,3,2,14,71,71,24.8
Busoga,Kaliro District,St. Francis Budini Health Centre III,3,2,3,58,58,5
Lango,Kole District,St. Francis Clinic (Aboke) Health Centre II,3,3,,,,
Tooro,Kyenjojo District,St. Francis Clinic (Bufunjo),3,3,,,,
Kampala,Kampala District,St. Francis Clinic (Rubaga),3,0,,,,
South Central,Wakiso District,St. Francis Domicilliary Clinic,3,2,-20,42,41,
North Central,Buikwe District,St. Francis Health Care Services Health Centre,3,3,17,167,167,2.9
Acholi,Nwoya District,St. Francis Health Centre II,3,3,,,,
North Central,Nakasongola District,St. Francis Health Centre III,3,3,-9,59,58,5
Tooro,Bunyangabu District,St. Francis Medical Centre,3,3,16,36,36,32.4
South Central,Mpigi District,St. Francis Medical Centre (Church Center),3,2,,,,
Busoga,Kamuli District,St. Francis Medical Centre (Kamuli),3,1,,,,
Tooro,Kyegegwa District,St. Francis Medical Centre (Mpara),3,2,,,,
North Central,Mukono District,St. Francis Naggalama Hospital,3,3,0,272,271,5.9
Kampala,Kampala District,St. Francis Nsambya Hospital,3,2,5,382,381,0.42
North Central,Buikwe District,St. Francis Nyenga Hospital,3,3,4,87,87,-4.6
South Central,Mpigi District,St. Francis Of Asisi Kitakyusa Health Centre III,3,2,,,,
South Central,Kalungu District,St. Francis of Assis Maternity Home,3,3,0,19,19,11.8
Tooro,Kasese District,St. Francis Of Assis-Kitabu Health Centre III,3,3,5,89,89,17
North Central,Nakasongola District,St. Franciscan Health Centre,3,3,8,66,63,-6.3
Ankole,Mbarara District,St. Franciska Makonje Health Centre II,3,3,-50,33,33,32.3
Kampala,Kampala District,St. Fransic Nursing and Maternity Home Mutungo,3,3,27,8,8,74.2
North Central,Kassanda District,St. Gabriel Mirembe Maria Health Centre III,3,3,13,125,125,21.6
Kampala,Kampala District,St. Gargret Clinic,,,,,,
Kampala,Kampala District,St. George Clinic,,,,,,
Lango,Oyam District,St. George Drugshop,,,,,,
Bunyoro,Kibaale District,St. George Medical Centre,3,2,,,,
South Central,Wakiso District,St. Gerald Medical Health Centre II,,,,,,
South Central,Masaka City,St. Gonzaga Clinic,,,,,,
Kampala,Kampala District,St. Grace Authopedic Clinic And),,,,,,
South Central,Kyotera District,St. Gyavira Domiciliary Health Centre II,3,3,-71,12,12,
Kampala,Kampala District,St. Henry Clinic,,,,,,
Bunyoro,Kibaale District,St. Immaculate Medical Centre,3,2,0,31,31,
South Central,Lyantonde District,St. Immaculate Mothers Health Centre II,3,2,,,,
Kampala,Kampala District,St. Jacent Medical Centre,,,,,,
North Central,Mityana District,St. Jacinta Zigoti Health Centre III,3,2,37,34,43,-47.3
Kampala,Kampala District,St. James (Kasubi),,,,,,
Kampala,Kampala District,St. James Dom. Clinic,3,2,2,40,38,0
Kampala,Kampala District,St. James Holistic Care Health Clinic,3,2,,,,
North Central,Kiboga District,St. James Masiriba COU Health Centre III,3,3,12,22,22,-7.9
Kampala,Kampala District,St. James Medical Centre (Rubaga),,,,,,
South Central,Wakiso District,St. James Medical Centre (Wakiso),3,3,0,1,1,
South Central,Wakiso District,St. James Medical Clinic,,,,,,
Acholi,Agago District,St. Janani Health Centre II,3,2,,,,
Kigezi,Rukungiri District,St. Jancinta Nyamakukuru Heath Centre III,3,2,22,7,7,-91.7
North Central,Mubende District,St. Jane Frances Medical Centre,,,,,,
Kampala,Kampala District,St. Jic Bunawona Clinic,,,,,,
Kampala,Kampala District,St. John Clinic,,,,,,
North Central,Mukono District,St. John Health Centre II,,,,,,
Bunyoro,Kagadi District,St. John Medical Centre,,,,,,
North Central,Mukono District,St. John True Vine,3,2,,,,
Tooro,Bunyangabu District,St. John's Medical Centre,3,2,,,,
Kigezi,Kisoro District,St. John's Nyagisozi Health Centre III,3,3,-16,44,68,56.1
South Central,Wakiso District,St. Johns Clinic,,,,,,
Kampala,Kampala District,St. Johns General Clinic,3,0,,,,
Bukedi,Tororo District,St. Johns Kayoro Health Centre II,3,2,36,16,16,46.7
Kampala,Kampala District,St. Johns Medical Clinic (Rubaga),,,,,,
Ankole,Rubirizi District,St. Johns Medical Clinic (Rubirizi),,,,,,
Kampala,Kampala District,St. Jonans Medical Clinic,,,,,,
Kampala,Kampala District,St. Jordan Medical Services,3,3,-3,33,35,-10.9
Bunyoro,Kibaale District,St. Joseph and Zoromina Health Centre II,3,2,,,,
Bunyoro,Kakumiro District,St. Joseph Bukuumi Health Centre II,3,2,19,114,114,2.1
South Central,Wakiso District,St. Joseph Clinic,3,2,,,,
Kampala,Kampala District,St. Joseph Clinic,,,,,,
Acholi,Omoro District,St. Joseph Community Medical Centre,,,,,,
South Central,Wakiso District,St. Joseph Domiciliary Health Centre III,3,2,-30,52,52,
Kampala,Kampala District,St. Joseph General Clinic,3,3,,,,
Kampala,Kampala District,St. Joseph General Clinic (Kawempe),,,,,,
Kampala,Kampala District,St. Joseph General Clinic (Makindye),,,,,,
Busoga,Jinja City,St. Joseph Health Centre II,3,2,,,,
South Central,Wakiso District,St. Joseph Hospital,3,2,28,53,53,21.3
South Central,Wakiso District,St. Joseph Hospital,3,2,,,,
North Central,Mubende District,St. Joseph Madudu Health Centre III,3,2,7,97,97,-10
Kampala,Kampala District,St. Joseph Medical and Diagnostic Unit,,,,,,
Kampala,Kampala District,St. Joseph Medical Clinic (Wandegeya),3,0,,,,
South Central,Kalungu District,St. Joseph Mother Care Health Centre II,3,2,-33,28,85,0
North Central,Mukono District,St. Joseph Nanfumba Health Centre II,,,,,,
South Central,Kalungu District,St. Joseph Of the Good Shepherd Health Centre,3,2,-9,50,50,22.2
Ankole,Mbarara District,St. Joseph Rubindi Health Centre II,3,3,11,34,34,-6.5
Ankole,Rubirizi District,St. Joseph's Clinic,,,,,,
Ankole,Ibanda District,St. Joseph's Clinic,3,2,21,26,26,14.4
West Nile,Adjumani District,St. Joseph's Clinic Adjumani,3,2,,,,
Kampala,Kampala District,St. Joseph's General Clinic,,,,,,
Kampala,Kampala District,St. Joseph's General Clinic,3,3,,,,
South Central,Wakiso District,St. Joseph's Health Clinic,,,,,,
Acholi,Kitgum District,St. Joseph's Kitgum Hospital,3,3,14,165,165,4.7
Kampala,Kampala District,St. Joseph's Medical Centre,3,2,,,,
South Central,Wakiso District,St. Joseph's Medical Clinic,,,,,,
West Nile,Maracha District,St. Josephs Maracha Hospital,3,1,39,33,33,68.6
South Central,Wakiso District,St. Josephs Medical Clinic Kasokoso,,,,,,
South Central,Wakiso District,St. Josephs Ortho Care Clinic,,,,,,
Kampala,Kampala District,St. Jude (Kisaasi),3,1,,,,
Kampala,Kampala District,St. Jude Clinic,,,,,,
Kampala,Kampala District,St. Jude Clinic (Kisugu),,,,,,
South Central,Kyotera District,St. Jude Clinic (Kyotera),3,3,,,,
South Central,Bukomansimbi District,St. Jude Clinic (Ndeeba),,,,,,
Kampala,Kampala District,St. Jude Clinic (Nsabya) Central,,,,,,
Kampala,Kampala District,St. Jude Clinic (Nyanama),3,1,,,,
Kampala,Kampala District,St. Jude Dom Clinic,3,2,-67,10,10,
Kampala,Kampala District,St. Jude Domicilliary,3,3,,,,
South Central,Wakiso District,St. Jude Domicilliary Clinic,,,,,,
Kampala,Kampala District,St. Jude Dormicilliary Busega,3,0,,,,
Kampala,Kampala District,St. Jude Francis Medical Clinic,,,,,,
Karamoja,Karenga District,St. Jude Kapedo Health Centre II,3,2,-7,49,49,-73.8
South Central,Masaka City,St. Jude Kaswa Health Centre II,3,2,46,15,14,26.3
Teso,Bukedea District,St. Jude Maternity Health Centre II,3,2,-9,62,62,6.5
North Central,Mityana District,St. Jude Maternity Home,3,2,,,,
Kampala,Kampala District,St. Jude Medical and Dental Clinic,,,,,,
Kampala,Kampala District,St. Jude Medical Centre,,,,,,
South Central,Bukomansimbi District,St. Jude Medical Centre,3,3,-46,54,49,
North Central,Luwero District,St. Jude Medical Centre,3,2,100,,,
Kampala,Kampala District,St. Jude Medical Centre (Kabowa),,,,,,
Kampala,Kampala District,St. Jude Medical Centre (Kibuye I),3,1,73,3,3,
Kampala,Kampala District,St. Jude Medical Centre Mubaraka,3,2,18,9,11,
South Central,Wakiso District,St. Jude Medical Clinic(Nansana),,,,,,
North Central,Mityana District,St. Jude Naama Health Centre III,3,2,-9,38,38,-390
South Central,Kyotera District,St. Jude Sanje Health Centre II,3,2,22,52,52,-2.8
Bunyoro,Kiryandongo District,St. Jude Thaddeos Karungu Health Centre III,3,2,42,42,42,-800
West Nile,Madi-Okollo District,St. Jude Uleppi Health Centre II,3,2,-22,45,45,1.5
Ankole,Mbarara District,St. Judie Medical Centre,3,3,,,,
Kampala,Kampala District,St. Kevin Martenety Clinic,,,,,,
Teso,Katakwi District,St. Kevin Toroma Health Centre III,3,3,6,145,145,-30.9
Kampala,Kampala District,St. Kizito Bwayiise Clinic,3,2,19,17,17,61.5
South Central,Wakiso District,St. Kizito Health Health Centre III,3,3,-18,40,41,
Busoga,Kamuli District,St. Kizito Kiyunga Health Centre II,3,2,,,,
Karamoja,Napak District,St. Kizito Matany Hospital,3,2,5,306,306,-101.5
Kampala,Kampala District,St. Kizito Maternity Centre,,,,,,
Busoga,Iganga District,St. Kizito Mission Namirali Health Centre II,3,3,,,,
North Central,Luwero District,St. Kizito Natyole Health Centre III,3,3,3,241,238,6.4
Tooro,Kyenjojo District,St. Klaus Health Centre III,3,2,5,123,123,0.24
Ankole,Bushenyi District,St. Laura Health Centre II,3,3,-54,20,20,0
Kampala,Kampala District,St. Lawrence Clinic,,,,,,
Lango,Amolatar District,St. Lawrence Clinic,3,3,,,,
West Nile,Arua City,St. Lawrence Medical Centre,,,,,,
Kampala,Kampala District,St. Lawrence Medical Clinic,3,2,,,,
Lango,Kole District,St. Lazarus Drugshop,,,,,,
Kampala,Kampala District,St. Leeven Clinic,,,,,,
Kampala,Kampala District,St. Louis Medical Centre,,,,,,
Kampala,Kampala District,St. Louis Medical Centre,3,2,,,,
Ankole,Ntungamo District,St. Lucia Kagamba Health Centre III,3,3,0,41,41,21.3
Kampala,Kampala District,St. Lucy Clinic,3,2,,,,
South Central,Wakiso District,St. Luis Health Centre II,,,,,,
Bunyoro,Kibaale District,St. Luke Bujuni (Kibaale) Health Centre III,3,2,18,90,90,8.4
North Central,Mukono District,St. Luke Clinic,,,,,,
Kampala,Kampala District,St. Luke Clinic (Makindye),,,,,,
South Central,Wakiso District,St. Luke Clinic Nsangi,3,2,24,31,19,
Kampala,Kampala District,St. Luke Dom Clinic,,,,,,
Kampala,Kampala District,St. Luke Health Centre,3,3,-1,78,72,-4.6
Acholi,Omoro District,St. Luke Health Centre II,3,2,1,71,71,42.8
North Central,Kassanda District,St. Luke Health Centre II,3,2,-23,32,30,
Lango,Kwania District,St. Luke Health Centre III,3,3,-5,66,66,
West Nile,Madi-Okollo District,St. Luke Katiyi Health Centre III,3,3,24,75,70,2.2
Kampala,Kampala District,St. Luke Kazo Medical Centre,,,,,,
Ankole,Isingiro District,St. Luke Kisyoro Health Centre II,3,3,31,9,9,
North Central,Mityana District,St. Luke Kiyinda Mityana Diocese Health Centre III,3,3,25,39,39,31.4
Kampala,Kampala District,St. Luke Maternity Clinic,,,,,,
Ankole,Ibanda District,St. Luke Medical and Surgical Clinic,3,2,,,,
Tooro,Kamwenge District,St. Luke Medical Centre,3,3,,0,0,
South Central,Wakiso District,St. Luke Medical Centre (Kazo),3,1,-17,54,54,-209.1
Kampala,Kampala District,St. Luke Medical Clinic,3,0,,,,
Bunyoro,Kakumiro District,St. Luke Medical Health Centre III,3,2,,,,
Busoga,Bugiri District,St. Luke Muterere Health Centre II,3,2,33,40,40,
North Central,Luwero District,St. Luke Namaliga Health Centre III,3,3,9,102,94,6.3
South Central,Wakiso District,St. Luke Nkumba Health Centre II,3,2,-167,16,16,
Kampala,Kampala District,St. Luke Society,,,,,,
Lango,Apac District,St. Mag Drugshop,,,,,,
South Central,Wakiso District,St. Magdalene Health Centre II,3,2,22,75,75,-440
Kampala,Kampala District,St. Maria Assumpta Clinic,,,,,,
North Central,Kiboga District,St. Maria Goretti Domicilliary Health Centre II,,,,,,
Kampala,Kampala District,St. Mark Clinic (Makindye),,,,,,
South Central,Wakiso District,"St. Mark Clinic, Nabaziza",,,,,,
South Central,Wakiso District,St. Mark Domiciliary Clinic,3,2,,,,
Kigezi,Rukungiri District,St. Mark Mabanga Health Centre II,3,3,-62,13,13,
Kampala,Kampala District,St. Mark Medical Centre,,,,,,
Kampala,Kampala District,St. Mark Medical Centre,3,0,,,,
Kampala,Kampala District,St. Mark Medical Centre,,,,,,
Kampala,Kampala District,St. Mark Medical Clinic,,,,,,
Bugisu,Mbale City,St. Martin Clinic (Mbale),3,3,,,,
South Central,Wakiso District,St. Martin Clinic (Ndejje),,,,,,
North Central,Mukono District,St. Martin Medical Centre,,,,,,
North Central,Mubende District,St. Martin Medical Centre,3,1,,,,
Teso,Serere District,St. Martins Amakio Health Centre III,3,3,0,31,31,1
South Central,Kyotera District,St. Martins Domiciliary,3,3,5,132,132,19.2
North Central,Kayunga District,St. Martins Medical Clinic,,,,,,
Tooro,Kyenjojo District,St. Martins-Mabra Health Centre III,3,3,5,276,276,-11.7
South Central,Kalungu District,St. Mary (Mukoko) Health Centre II,3,2,,0,0,
South Central,Mpigi District,St. Mary Bahaise Medical Centre,3,3,,,,
Tooro,Kitagwenda District,St. Mary Beatrace Medical Centre,3,3,,,,
Kampala,Kampala District,St. Mary Domiciliary Clinic,,,,,,
Bunyoro,Kakumiro District,St. Mary Life Care Health Centre III,3,2,,,,
North Central,Kayunga District,St. Mary's Adi Clinic,,,,,,
Busoga,Bugiri District,St. Mary's Clinc Clinic,3,3,,,,
Lango,Kwania District,St. Mary's Clinic,,,,,,
South Central,Lwengo District,St. Mary's Domiciliary,,,,,,
Kampala,Kampala District,St. Mary's Domiciliary (Kasubi - Kawala),,,,,,
Ankole,Ibanda District,St. Mary's Domiciliary Clinic,3,2,,,,
South Central,Wakiso District,St. Mary's Domicilliary Clinic,3,1,,,,
North Central,Mukono District,St. Mary's Health Centre II,3,3,,,,
Acholi,Gulu City,St. Mary's Hospital Lacor,3,3,,,,
Bunyoro,Kakumiro District,St. Mary's Kakindo Health Centre III,3,2,33,58,58,35.3
North Central,Luwero District,St. Mary's Kalule Health Centre III,3,3,4,65,65,11.2
North Central,Luwero District,St. Mary's Kasaala Health Centre IV,3,2,-13,68,68,-1.6
Tooro,Kyenjojo District,St. Mary's Katoosa Health Centre II,3,3,7,53,53,-0.57
Bunyoro,Kiryandongo District,St. Mary's Kigumba Health Centre III,3,3,20,159,159,4400
South Central,Bukomansimbi District,St. Mary's Maternity & Nursing Home,3,2,-9,37,39,1170
Kampala,Kampala District,St. Mary's Medical Clinic,3,0,,,,
Bugisu,Sironko District,St. Mary's Salalira Health Centre III,3,2,27,27,27,
South Central,Wakiso District,St. Marys Clinic,3,2,,,,
North Central,Kiboga District,St. Marys Clinic Kiboga,3,1,,,,
Kampala,Kampala District,St. Marys Domicilliary (Mugwanya),,,,,,
Kampala,Kampala District,St. Marys Family Clinic,3,1,,,,
Kampala,Kampala District,St. Marys Medical Clinic,,,,,,
South Central,Wakiso District,St. Marys Medical Services Clinic,3,2,-50,3,3,
South Central,Wakiso District,St. Marys Medical Services Health Centre III,,,,,,
Kampala,Kampala District,St. Mathews Clinic,,,,,,
Kampala,Kampala District,St. Mathias Medical Care and Counselling Centre,,,,,,
North Central,Nakaseke District,St. Matia Lusanja Health Centre II,3,3,38,32,32,
North Central,Kassanda District,St. Matia Mulumba Health Centre III,3,2,-8,127,126,21.9
Acholi,Gulu City,St. Mauritz Health Centre II,3,3,-4,85,85,0.4
South Central,Bukomansimbi District,St. Mechtilda Kitaasa Health Centre III,3,3,10,101,101,35.8
Kampala,Kampala District,St. Michael Clinic,3,2,,,,
South Central,Mpigi District,St. Michael Kanyike Medical Centre,3,2,7,14,15,4
Kampala,Kampala District,St. Michael Medical Centre,,,,,,
Bukedi,Tororo District,St. Michael Medical Clinic,3,1,,,,
Bunyoro,Kibaale District,St. Michael Medical Health Centre II,3,2,,,,
Bunyoro,Kagadi District,St. Michael Nyankoma Health Centre III,3,2,14,24,24,-60
Teso,Amuria District,St. Michael-Wera Health Centre III,3,3,-6,116,116,30.3
Kampala,Kampala District,St. Micheal Dental Clinic HC II,,,,,,
Lango,Kole District,St. Micheal Drugshop,,,,,,
Kampala,Kampala District,St. Micheal Medical Centre (Nakawa),3,1,-12,29,29,0
Kampala,Kampala District,St. Micheal Medical Centre (Rubaga),,,,,,
Kampala,Kampala District,St. Micheal Medical Clinic,,,,,,
Kampala,Kampala District,St. Monica (Rubaga),3,0,,,,
South Central,Kalungu District,St. Monica Birongo Health Centre III,3,3,-5,88,88,-3.4
Acholi,Gulu City,St. Monica Health Centre II,3,2,26,54,54,2.5
South Central,Mpigi District,St. Monica Health Centre III- Bukoma,3,2,-100,14,14,38.5
South Central,Mpigi District,St. Monica Katende Health Centre III,3,3,33,62,62,42.5
Busoga,Kaliro District,St. Moses Clinic,,,,,,
South Central,Kyotera District,St. Mugaga Clinic,3,3,-120,11,11,
Acholi,Gulu City,St. Nektarios Orthodox Health Centre III,3,2,37,12,12,-2.2
Kampala,Kampala District,St. Nicholas Community General Clinic,3,3,22,52,52,0
North Central,Mityana District,St. Noah Buyambi Health Centre III,3,3,-13,43,43,-252.5
North Central,Kyankwanzi District,St. Noah Vvumba Health Centre II,3,3,7,79,79,-22.4
Bunyoro,Kagadi District,St. Norah Medical Health Centre III,,,,,,
North Central,Mityana District,St. Padre Pio Mirembe Health Centre III,3,3,0,131,130,2
South Central,Lyantonde District,St. Padrepio Healing Medical Centre,,,,,,
North Central,Luwero District,St. Panagiotis Health Centre II,3,2,50,22,21,1412.5
North Central,Luwero District,St. Panteleimon Health Centre III,3,2,,,,
Ankole,Ntungamo District,St. Patrick Medical Centre,3,2,,,,
Tooro,Kasese District,St. Paul (Kasese) Health Centre,3,3,17,109,107,18.1
North Central,Mukono District,St. Paul (Mukono) Clinic,3,2,,,,
Kampala,Kampala District,St. Paul Clinic,3,0,,,,
North Central,Kayunga District,St. Paul Domiciliary Clinic,3,1,-86,26,26,
South Central,Wakiso District,St. Paul Family Care Clinic,3,2,35,20,20,
Kampala,Kampala District,St. Paul Medical Centre,3,3,,,,
Kampala,Kampala District,St. Paul Medical Centre (Rubaga),,,,,,
South Central,Wakiso District,St. Paul Medical CentreKakunyu Health Centre II,3,1,,,,
South Central,Wakiso District,St. Paul Medical Clinic,,,,,,
Tooro,Kitagwenda District,St. Paul Medical Clinic,3,2,,,,
Kampala,Kampala District,St. Perez Medicalclinic,,,,,,
Acholi,Lamwo District,St. Peter and Paul Health Centre III,3,3,18,50,50,-15.5
Busoga,Iganga District,St. Peter Claver Health Centre II,3,3,-36,201,201,-102.8
North Central,Kiboga District,St. Peter's Clinic,3,3,29,20,20,11.2
Ankole,Mbarara District,St. Peter's Health Centre II,3,2,,,,
North Central,Buikwe District,St. Peter's Medical Centre,,,,,,
South Central,Kyotera District,St. Peter's Medical Clinic,3,3,,,,
South Central,Lwengo District,"St. Peter,Busibo",3,3,27,46,46,-50
Acholi,Omoro District,St. Peters Awere Health Centre II,3,2,,0,0,
Kampala,Kampala District,St. Peters Clinic,,,,,,
Lango,Kwania District,St. Peters Drugshop,,,,,,
Ankole,Isingiro District,St. Peters Kanywamaizi Health Centre II,3,2,100,,,
Tooro,Kyenjojo District,St. Peters Medical Centre,3,2,,,,
Bukedi,Pallisa District,St. Peters Medical Centre,3,3,,,,
Busoga,Kaliro District,St. Peters Medical Health Centre III,3,1,,,,
Teso,Soroti City,St. Peters Ngo Health Centre II,3,2,,,,
Acholi,Gulu City,St. Philip Health Centre II,3,3,-23,87,87,-40.1
Acholi,Kitgum District,St. Phillip's Medical Clinic,3,3,-18,33,18,-900
South Central,Wakiso District,St. Phillips Medical Clinic,3,2,,,,
Kampala,Kampala District,St. Pius Diagonistic Centre,,,,,,
Karamoja,Moroto District,St. Pius Kidepo Health Centre III,3,3,5,259,259,-3.6
Ankole,Ntungamo District,St. Raphael Children's Clinic,3,3,33,2,2,126.7
South Central,Wakiso District,St. Raphael Medical Clinic,,,,,,
Kampala,Kampala District,St. Raphael Medical Services,,,,,,
Tooro,Kyegegwa District,St. Rapheal Clinic,3,3,,,,
Bukedi,Pallisa District,St. Richard Health Centre III,3,3,1,80,80,6.8
South Central,Wakiso District,St. Ritah Health Centre III,3,2,31,11,11,
Kampala,Kampala District,St. Roberts Health Care,,,,,,
Kampala,Kampala District,St. Roberts Medical Centre,,,,,,
Kampala,Kampala District,St. Roselyn Care Clinic,3,0,,,,
Kampala,Kampala District,St. Rosemary Clinic,,,,,,
North Central,Mukono District,St. Ruth Domiciliary Clinic,3,2,,,,
Kigezi,Rukungiri District,St. Sabena Health Centre II,3,3,,,,
Acholi,Nwoya District,St. Stefano Campagnolo Memorial Health Centre II,3,2,30,65,65,-13.3
Bukedi,Pallisa District,St. Stephen Health Centre II,3,3,52,16,18,3.8
Kampala,Kampala District,St. Stephen's Clinic (Kanyanya),,,,,,
Kampala,Kampala District,St. Stephen's Mpererwe Hospital,3,3,-1,136,146,-6.7
Kampala,Kampala District,St. Stephens Clinic,,,,,,
Kampala,Kampala District,St. Steven Clinic,3,0,,,,
Kampala,Kampala District,St. Steven Dispensary and Maternity,3,3,12,99,96,-5.2
Kampala,Kampala District,St. Steven's Medical Clinic Kabowa,3,2,,,,
Kampala,Kampala District,St. Tereza Clinic,,,,,,
Kampala,Kampala District,St. Theraza Medical Centre,3,2,,,,
North Central,Nakaseke District,St. Theresa Kabogwe Health Centre II,3,3,10,44,44,74.5
Tooro,Kyenjojo District,St. Theresa Lisieux Rwibaale Health Centre IV,3,3,-7,181,179,-138.5
North Central,Mityana District,St. Thereza Domiciliary Health Centre II,3,3,,,,
Kampala,Kampala District,St. Thereza Domicilliary Clinic,,,,,,
South Central,Lyantonde District,St. Thereza Drug Shop,,,,,,
Ankole,Isingiro District,St. Thereza Health Centre II,3,2,,,,
Bunyoro,Kakumiro District,St. Thereza Medical Health Centre III,3,3,-37,44,44,
North Central,Kyankwanzi District,St. Thereza Ndibata Health Centre II,3,2,-5,21,21,
Tooro,Kyegegwa District,St. Thomas Medical Health Centre II,3,1,,,,
Kampala,Kampala District,St. Timothy Medical Clinic,3,2,,,,
Bukedi,Tororo District,St. Valentine Medical Centre,3,2,,0,0,
Kampala,Kampala District,St. Vicent Clinic,,,,,,
Kampala,Kampala District,St. Vincent Health Centre,,,,,,
Kampala,Kampala District,St.Harriet'S Clinic Bwaise,3,0,,,,
Kampala,Kampala District,St.Joseph Maternity Centre,3,1,,,,
Kampala,Kampala District,St.Stephens Clinic Kazo,3,2,,,,
Kampala,Kampala District,Stake Clinic,3,2,,,,
Kampala,Kampala District,Stake Health Care,,,,,,
Kampala,Kampala District,Stana Medical Centre,3,2,10,19,19,46.7
South Central,Sembabule District,Standard Clinic,,,,,,
Kampala,Kampala District,Standard Medical Services,,,,,,
Kampala,Kampala District,Star Clinic (Rubaga),,,,,,
Kampala,Kampala District,Star Light Clinic,3,0,,,,
Kampala,Kampala District,Star Medical Centre,,,,,,
Kampala,Kampala District,Star Medical Services,3,0,,,,
South Central,Wakiso District,State House Health Centre IV,3,3,9,80,80,162.9
North Central,Mukono District,State Medical Centre,3,2,35,34,34,25
Tooro,Ntoroko District,Stella Maris Ntoroko Health Centre III,3,3,-69,86,94,
Kampala,Kampala District,Stella Medical Centre,,,,,,
Kampala,Kampala District,Stellas Light Clinic,,,,,,
Kampala,Kampala District,Stemu Domiciliary Clinic,,,,,,
Kampala,Kampala District,Step Out Dom Clinic,3,2,,,,
Kampala,Kampala District,Sternest Medical Care,,,,,,
Kampala,Kampala District,Stex Health Care,,,,,,
South Central,Wakiso District,Stim Family Clinic,,,,,,
Tooro,Kasese District,Strides Medical Health Centre III,3,3,,,,
South Central,Wakiso District,Stroke Rehabilitation Centre,3,2,,,,
Kampala,Kampala District,Suham Dental Surgery,,,,,,
Kampala,Kampala District,Suka Medical Centre,,,,,,
Bugisu,Kapchorwa District,Sumayya Health Centre II,3,3,38,10,10,0
Kampala,Kampala District,Sun Bay Medical Centre,3,2,,,,
Kampala,Kampala District,Sun Clinic,3,0,,,,
Kampala,Kampala District,Sun Shine Clinic,,,,,,
Bugisu,Kween District,Sundet Health Centre II,3,2,-111,38,40,39.2
Busoga,Mayuge District,Sunrise Clinic,3,2,,,,
Kampala,Kampala District,Sunway medical centre,3,0,,,,
Kampala,Kampala District,Super Health Centre,,,,,,
Bunyoro,Masindi District,Supreme Medical Health Centre III,3,1,,,,
Kampala,Kampala District,Sure Clinic,,,,,,
Kampala,Kampala District,Sure Medi Care,,,,,,
South Central,Masaka City,Sure Medical Clinic,3,2,,,,
Lango,Kwania District,Surgicare Medical Clinic,,,,,,
Kampala,Kampala District,Surs Health Care Clinic,3,0,,,,
North Central,Kayunga District,Suubi Community Medical Health Centre II,3,2,,,,
South Central,Wakiso District,Suubi General Clinic,,,,,,
South Central,Lwengo District,Suubi Health Centre II,3,2,,,,
Busoga,Luuka District,Suubi Health Centre III,3,3,2,50,50,31.4
Kampala,Kampala District,Suubi Health Services,,,,,,
North Central,Kayunga District,Suubi Medical Centre (Kayunga),3,2,-29,36,36,
Kampala,Kampala District,Suubi Medical Centre (Nateete),3,1,,,,
South Central,Sembabule District,Suubi Medical Clinic,,,,,,
Kampala,Kampala District,Suubi Medical Clinic (Kasubi),,,,,,
Kampala,Kampala District,Suubi Medical Clinic (Kisenyi II),3,2,,,,
Kampala,Kampala District,Suubi Medical Clinic (Makerere III),,,,,,
Ankole,Bushenyi District,Swazi Health Centre II,3,3,11,8,8,37.5
Bukedi,Tororo District,Swena Eye Clinic,3,1,,,,
Tooro,Kyegegwa District,Sweswe ADRA Health Centre II,3,1,,,,
West Nile,Yumbe District,Swinga Health Centre III,3,3,15,28,28,26.7
South Central,Wakiso District,Sylvan Medical Clinic,3,1,,,,
South Central,Lyantonde District,T.K.F Drug Shop,,,,,,
Kampala,Kampala District,Taant Medical Services,,,,,,
Teso,Bukedea District,Tajar Health Centre III,3,2,-6,54,53,1011.8
North Central,Mukono District,Takajjunge Health Centre III,3,2,5,84,84,32.8
Kampala,Kampala District,Tamba Dental Clinic,3,2,,,,
Bukedi,Butaleja District,Tambala Medical Centre,,,,,,
North Central,Mukono District,Tamuzadde Domiciliary Clinic,,,,,,
West Nile,Arua City,Tanganyika Medical Clinic,,,,,,
West Nile,Terego District,Tank29 Health Centre II,3,2,,,,
West Nile,Terego District,Tank79 Health Centre II,3,2,,,,100
Busoga,Namayingo District,Taoky Medical Clinic,3,2,,,,
Karamoja,Moroto District,Tapac Health Centre III,3,2,-12,64,64,-22.9
South Central,Wakiso District,Taqwa Health Care Clinic,3,1,,,,
South Central,Wakiso District,Taqwa Health Centre III,3,3,9,191,191,20.8
West Nile,Maracha District,Tara Health Centre III,3,1,-19,93,93,20.3
South Central,Wakiso District,TASO Entebbe,3,3,,,,
